LATITUD;LONGITUD;IDDPTO;DEPARTAMENTO;IDPROV;PROVINCIA;IDDIST;DISTRITO;CAPITAL;CODCCPP;FUENTE
-9.634362221;-75.4665451;10;HUANUCO;1009;PUERTO INCA;100902;CODO DEL POZUZO;CODO DEL POZUZO;1;INEI
-9.001326561;-74.86643982;10;HUANUCO;1009;PUERTO INCA;100904;TOURNAVISTA;TOURNAVISTA;1;INEI
-8.824920654;-75.04785919;25;UCAYALI;2503;PADRE ABAD;250305;ALEXANDER VON HUMBOLDT;ALEXANDER VON HUMBOLDT;1;INEI
-8.950516701;-75.27994537;25;UCAYALI;2503;PADRE ABAD;250302;IRAZOLA;SAN ALEJANDRO;1;INEI
-8.641294479;-75.04904175;25;UCAYALI;2503;PADRE ABAD;250304;NESHUYA;MONTE ALEGRE;1;INEI
-8.898609161;-75.62593842;25;UCAYALI;2503;PADRE ABAD;250301;PADRE ABAD;AGUAYTIA;1;INEI
-8.417384148;-75.29712677;25;UCAYALI;2503;PADRE ABAD;250303;CURIMANA;CURIMANA;1;INEI
-9.288928032;-74.96681213;10;HUANUCO;1009;PUERTO INCA;100901;PUERTO INCA;PUERTO INCA;1;INEI
-8.163111687;-75.01468658;25;UCAYALI;2501;CORONEL PORTILLO;250106;NUEVA REQUENA;NUEVA REQUENA;1;INEI
-8.520606041;-74.84577942;25;UCAYALI;2501;CORONEL PORTILLO;250102;CAMPOVERDE;CAMPO VERDE;1;INEI
-7.781124592;-75.34938049;16;LORETO;1606;UCAYALI;160601;CONTAMANA;CONTAMANA;1;INEI
-8.000968933;-79.05825043;13;LA LIBERTAD;1301;TRUJILLO;130104;HUANCHACO;HUANCHACO;1;INEI
-7.924754143;-79.21815491;13;LA LIBERTAD;1302;ASCOPE;130207;SANTIAGO DE CAO;SANTIAGO DE CAO;1;INEI
-7.918374062;-78.82719421;13;LA LIBERTAD;1301;TRUJILLO;130110;SIMBAL;SIMBAL;1;INEI
-7.85517931;-79.30007935;13;LA LIBERTAD;1302;ASCOPE;130204;MAGDALENA DE CAO;MAGDALENA DE CAO;1;INEI
-7.790494442;-79.2265625;13;LA LIBERTAD;1302;ASCOPE;130203;CHOCOPE;CHOCOPE;1;INEI
-7.728703976;-79.30177307;13;LA LIBERTAD;1302;ASCOPE;130205;PAIJAN;PAIJAN;1;INEI
-7.754506588;-78.77925873;13;LA LIBERTAD;1306;OTUZCO;130613;SINSICAP;SINSICAP;1;INEI
-7.804973125;-79.00817108;13;LA LIBERTAD;1302;ASCOPE;130202;CHICAMA;CHICAMA;1;INEI
-7.686893463;-79.37161255;13;LA LIBERTAD;1302;ASCOPE;130206;RAZURI;PUERTO DE MALABRIGO;1;INEI
-7.662521839;-78.70140839;13;LA LIBERTAD;1311;GRAN CHIMU;131103;MARMOT;MARMOT /13;1;INEI
-7.660906315;-79.0821991;13;LA LIBERTAD;1302;ASCOPE;130201;ASCOPE;ASCOPE;1;INEI
-7.501516342;-78.76397705;13;LA LIBERTAD;1311;GRAN CHIMU;131101;CASCAS;CASCAS;1;INEI
-7.576701164;-79.19490814;13;LA LIBERTAD;1302;ASCOPE;130208;CASA GRANDE;CASA GRANDE;1;INEI
-7.502797604;-78.96229553;6;CAJAMARCA;605;CONTUMAZA;60505;SAN BENITO;SAN BENITO;1;INEI
-7.483565331;-79.4048996;13;LA LIBERTAD;1307;PACASMAYO;130701;SAN PEDRO DE LLOC;SAN PEDRO DE LLOC;1;INEI
-7.373456478;-79.0666275;6;CAJAMARCA;605;CONTUMAZA;60503;CUPISNIQUE;TRINIDAD;1;INEI
-18.10757828;-70.24063873;23;TACNA;2301;TACNA;230110;CORONEL GREGORIO ALBARRACIN LANCHIPA;ALFONSO UGARTE;1;INEI
-18.00774002;-70.07398987;23;TACNA;2301;TACNA;230108;POCOLLAY;POCOLLAY;1;INEI
-17.95422745;-70.14626312;23;TACNA;2301;TACNA;230103;CALANA;CALANA;1;INEI
-18.11301994;-70.16907501;23;TACNA;2301;TACNA;230101;TACNA;TACNA;1;INEI
-17.95699883;-70.66775513;23;TACNA;2301;TACNA;230109;SAMA;LAS YARAS;1;INEI
-17.85780716;-70.19032288;23;TACNA;2301;TACNA;230104;CIUDAD NUEVA;CIUDAD NUEVA;1;INEI
-17.80351257;-70.93295288;23;TACNA;2303;JORGE BASADRE;230303;ITE;ITE;1;INEI
-17.71417618;-71.21713257;18;MOQUEGUA;1803;ILO;180301;ILO;ILO;1;INEI
-17.83335876;-70.27874756;23;TACNA;2301;TACNA;230102;ALTO DE LA ALIANZA;LA ESPERANZA;1;INEI
-17.78480148;-70.02365875;23;TACNA;2301;TACNA;230106;PACHIA;PACHIA;1;INEI
-17.61245537;-70.11366272;23;TACNA;2304;TARATA;230404;ESTIQUE-PAMPA;ESTIQUE-PAMPA;1;INEI
-17.62372398;-70.02523804;23;TACNA;2304;TARATA;230403;ESTIQUE;ESTIQUE;1;INEI
-17.50187492;-69.95796204;23;TACNA;2304;TARATA;230407;TARUCACHI;TARUCACHI;1;INEI
-17.68115997;-70.4235611;23;TACNA;2301;TACNA;230105;INCLAN;SAMA GRANDE;1;INEI
-17.60422134;-70.73309326;23;TACNA;2303;JORGE BASADRE;230301;LOCUMBA;LOCUMBA;1;INEI
-17.58305931;-71.14154053;18;MOQUEGUA;1803;ILO;180302;EL ALGARROBAL;EL ALGARROBAL;1;INEI
-17.65696144;-69.7641449;23;TACNA;2301;TACNA;230107;PALCA;PALCA;1;INEI
-17.49941254;-70.21455383;23;TACNA;2304;TARATA;230402;HEROES ALBARRACIN;CHUCATAMANI;1;INEI
-17.39410973;-70.33379364;23;TACNA;2302;CANDARAVE;230204;CURIBAYA;CURIBAYA;1;INEI
-17.39458656;-70.15339661;23;TACNA;2304;TARATA;230405;SITAJARA;SITAJARA;1;INEI
-17.33286667;-70.25705719;23;TACNA;2302;CANDARAVE;230206;QUILAHUANI;QUILAHUANI;1;INEI
-17.43945313;-71.35939789;18;MOQUEGUA;1803;ILO;180303;PACOCHA;PUEBLO NUEVO;1;INEI
-17.3770504;-69.75141144;23;TACNA;2304;TARATA;230401;TARATA;TARATA;1;INEI
-17.30857468;-70.33010101;23;TACNA;2302;CANDARAVE;230205;HUANUARA;HUANUARA;1;INEI
-17.3347435;-69.96359253;23;TACNA;2304;TARATA;230408;TICACO;TICACO;1;INEI
-17.38377953;-70.57106781;23;TACNA;2303;JORGE BASADRE;230302;ILABAYA;ILABAYA;1;INEI
-17.15670395;-70.85276031;18;MOQUEGUA;1801;MARISCAL NIETO;180104;SAMEGUA;SAMEGUA;1;INEI
-17.16003609;-71.55075836;4;AREQUIPA;407;ISLAY;40706;PUNTA DE BOMBON;PUNTA DE BOMBON;1;INEI
-17.18775368;-70.34064484;23;TACNA;2302;CANDARAVE;230202;CAIRANI;CAIRANI;1;INEI
-17.2245388;-70.0466156;23;TACNA;2304;TARATA;230406;SUSAPAYA;SUSAPAYA;1;INEI
-17.09799385;-71.82963562;4;AREQUIPA;407;ISLAY;40703;DEAN VALDIVIA;LA CURVA;1;INEI
-17.16510963;-70.43265533;23;TACNA;2302;CANDARAVE;230203;CAMILACA;ALTO CAMILACA;1;INEI
-17.03556252;-71.87828827;4;AREQUIPA;407;ISLAY;40705;MEJIA;MEJIA;1;INEI
-17.10983086;-69.70199585;21;PUNO;2105;EL COLLAO;210502;CAPAZO;CAPAZO;1;INEI
-17.04193115;-70.2478714;23;TACNA;2302;CANDARAVE;230201;CANDARAVE;CANDARAVE;1;INEI
-16.87633705;-72.10224152;4;AREQUIPA;407;ISLAY;40704;ISLAY;ISLAY (MATARANI);1;INEI
-16.99812126;-70.73834229;18;MOQUEGUA;1801;MARISCAL NIETO;180106;TORATA;TORATA;1;INEI
-17.22922325;-71.06121826;18;MOQUEGUA;1801;MARISCAL NIETO;180101;MOQUEGUA;MOQUEGUA;1;INEI
-16.76866531;-70.66738129;18;MOQUEGUA;1801;MARISCAL NIETO;180103;CUCHUMBAYA;CUCHUMBAYA;1;INEI
-16.93125534;-69.44760895;21;PUNO;2104;CHUCUITO;210405;PISACOMA;PISACOMA;1;INEI
-16.92887688;-71.59952545;4;AREQUIPA;407;ISLAY;40702;COCACHACRA;COCACHACRA;1;INEI
-16.85738373;-71.87877655;4;AREQUIPA;407;ISLAY;40701;MOLLENDO;MOLLENDO;1;INEI
-16.82603073;-71.29398346;18;MOQUEGUA;1802;GENERAL SANCHEZ CERRO;180205;LA CAPILLA;LA CAPILLA;1;INEI
-16.63047409;-72.71226501;4;AREQUIPA;402;CAMANA;40201;CAMANA;CAMANA;1;INEI
-16.704216;-70.87984467;18;MOQUEGUA;1802;GENERAL SANCHEZ CERRO;180209;QUINISTAQUILLAS;QUINISTAQUILLAS;1;INEI
-16.59673309;-72.73701477;4;AREQUIPA;402;CAMANA;40202;JOSE MARIA QUIMPER;EL CARDO;1;INEI
-16.72162437;-69.24796295;21;PUNO;2104;CHUCUITO;210404;KELLUYO;KELLUYO;1;INEI
-16.66339493;-70.64459991;18;MOQUEGUA;1801;MARISCAL NIETO;180105;SAN CRISTOBAL;CALACOA;1;INEI
-16.62012291;-69.08023071;21;PUNO;2104;CHUCUITO;210402;DESAGUADERO;DESAGUADERO;1;INEI
-16.60132027;-72.65242004;4;AREQUIPA;402;CAMANA;40208;SAMUEL PASTOR;LA PAMPA;1;INEI
-16.5441227;-71.44281769;4;AREQUIPA;401;AREQUIPA;40115;QUEQUEÑA;QUEQUEÑA;1;INEI
-16.64664459;-70.96292877;18;MOQUEGUA;1802;GENERAL SANCHEZ CERRO;180201;OMATE;OMATE;1;INEI
-16.83579636;-69.85521698;21;PUNO;2105;EL COLLAO;210504;SANTA ROSA;MAZO CRUZ;1;INEI
-16.61350441;-71.54981232;4;AREQUIPA;401;AREQUIPA;40127;YARABAMBA;YARABAMBA;1;INEI
-16.6420002;-71.35744476;4;AREQUIPA;401;AREQUIPA;40114;POLOBAYA;POLOBAYA GRANDE;1;INEI
-16.50417137;-71.47475433;4;AREQUIPA;401;AREQUIPA;40111;MOLLEBAYA;MOLLEBAYA;1;INEI
-16.72843361;-70.37142181;18;MOQUEGUA;1801;MARISCAL NIETO;180102;CARUMAS;CARUMAS;1;INEI
-16.62831116;-71.15740204;18;MOQUEGUA;1802;GENERAL SANCHEZ CERRO;180208;PUQUINA;PUQUINA;1;INEI
-16.70073318;-72.35198975;4;AREQUIPA;402;CAMANA;40207;QUILCA;QUILCA;1;INEI
-16.57577515;-71.04595947;18;MOQUEGUA;1802;GENERAL SANCHEZ CERRO;180203;COALAQUE;COALAQUE;1;INEI
-16.60415459;-69.39888;21;PUNO;2104;CHUCUITO;210403;HUACULLANI;HUACULLANI;1;INEI
-16.47367668;-71.53442383;4;AREQUIPA;401;AREQUIPA;40122;SOCABAYA;SOCABAYA;1;INEI
-16.49887085;-71.33208466;4;AREQUIPA;401;AREQUIPA;40113;POCSI;POCSI;1;INEI
-16.45890045;-71.56342316;4;AREQUIPA;401;AREQUIPA;40107;JACOBO HUNTER;JACOBO HUNTER;1;INEI
-16.44805908;-71.45969391;4;AREQUIPA;401;AREQUIPA;40116;SABANDIA;SABANDIA;1;INEI
-16.55264664;-69.63346863;21;PUNO;2105;EL COLLAO;210505;CONDURIRI;CONDURIRI;1;INEI
-16.43135262;-71.52365875;4;AREQUIPA;401;AREQUIPA;40129;JOSE LUIS BUSTAMANTE Y RIVERO;CIUDAD SATELITE;1;INEI
-16.46352196;-71.59938812;4;AREQUIPA;401;AREQUIPA;40123;TIABAYA;TIABAYA;1;INEI
-16.42116165;-71.57678223;4;AREQUIPA;401;AREQUIPA;40117;SACHACA;SACHACA;1;INEI
-16.45775604;-71.38291168;4;AREQUIPA;401;AREQUIPA;40105;CHARACATO;CHARACATO;1;INEI
-16.58841896;-71.79573822;4;AREQUIPA;401;AREQUIPA;40108;LA JOYA;LA JOYA;1;INEI
-16.42019463;-71.47823334;4;AREQUIPA;401;AREQUIPA;40112;PAUCARPATA;PAUCARPATA;1;INEI
-16.52291107;-72.14409637;4;AREQUIPA;401;AREQUIPA;40121;SANTA RITA DE SIGUAS;SANTA RITA DE SIGUAS;1;INEI
-16.40637398;-71.53843689;4;AREQUIPA;401;AREQUIPA;40101;AREQUIPA;AREQUIPA;1;INEI
-16.52868652;-70.83660889;18;MOQUEGUA;1802;GENERAL SANCHEZ CERRO;180207;MATALAQUE;MATALAQUE;1;INEI
-16.39394188;-71.54788971;4;AREQUIPA;401;AREQUIPA;40126;YANAHUARA;YANAHUARA;1;INEI
-16.46094322;-71.69054413;4;AREQUIPA;401;AREQUIPA;40124;UCHUMAYO;UCHUMAYO;1;INEI
-16.47943306;-72.63404846;4;AREQUIPA;402;CAMANA;40205;NICOLAS DE PIEROLA;SAN GREGORIO;1;INEI
-16.4945488;-69.17789459;21;PUNO;2104;CHUCUITO;210407;ZEPITA;ZEPITA;1;INEI
-16.40501595;-72.16236877;4;AREQUIPA;401;AREQUIPA;40118;SAN JUAN DE SIGUAS;SAN JUAN DE SIGUAS /2;1;INEI
-16.37094307;-69.07292175;21;PUNO;2113;YUNGUYO;211303;COPANI;COPANI;1;INEI
-16.37536621;-71.4630127;4;AREQUIPA;401;AREQUIPA;40109;MARIANO MELGAR;MARIANO MELGAR;1;INEI
-16.45703697;-70.57131195;18;MOQUEGUA;1802;GENERAL SANCHEZ CERRO;180202;CHOJATA;CHOJATA;1;INEI
-16.45565224;-72.83235931;4;AREQUIPA;402;CAMANA;40204;MARISCAL CACERES;SAN JOSE;1;INEI
-16.35661125;-71.47146606;4;AREQUIPA;401;AREQUIPA;40110;MIRAFLORES;MIRAFLORES;1;INEI
-16.37558174;-71.35878754;4;AREQUIPA;401;AREQUIPA;40106;CHIGUATA;CHIGUATA;1;INEI
-16.33094597;-71.48576355;4;AREQUIPA;401;AREQUIPA;40102;ALTO SELVA ALEGRE;SELVA ALEGRE;1;INEI
-16.29310417;-69.18089294;21;PUNO;2113;YUNGUYO;211304;CUTURAPI;SAN JUAN DE CUTURAPI;1;INEI
-16.35665321;-69.28820801;21;PUNO;2104;CHUCUITO;210406;POMATA;POMATA;1;INEI
-16.32554054;-68.87966156;21;PUNO;2113;YUNGUYO;211302;ANAPIA;ANAPIA;1;INEI
-16.30361366;-70.62742615;18;MOQUEGUA;1802;GENERAL SANCHEZ CERRO;180206;LLOQUE;LLOQUE;1;INEI
-16.22480774;-68.96590424;21;PUNO;2113;YUNGUYO;211307;UNICACHI;MARCAJA;1;INEI
-16.2828083;-69.09010315;21;PUNO;2113;YUNGUYO;211301;YUNGUYO;YUNGUYO;1;INEI
-16.23610687;-68.99690247;21;PUNO;2113;YUNGUYO;211305;OLLARAYA;SAN MIGUEL DE OLLARAYA;1;INEI
-16.30444717;-71.57640839;4;AREQUIPA;401;AREQUIPA;40104;CERRO COLORADO;LA LIBERTAD;1;INEI
-16.19740486;-68.97045135;21;PUNO;2113;YUNGUYO;211306;TINICACHI;TINICACHI;1;INEI
-16.32872772;-69.50292969;21;PUNO;2104;CHUCUITO;210401;JULI;JULI;1;INEI
-16.25272179;-71.45706177;4;AREQUIPA;401;AREQUIPA;40103;CAYMA;CAYMA;1;INEI
-16.22754669;-70.65981293;18;MOQUEGUA;1802;GENERAL SANCHEZ CERRO;180211;YUNGA;YUNGA;1;INEI
-16.48931694;-71.98783875;4;AREQUIPA;401;AREQUIPA;40125;VITOR;VITOR;1;INEI
-16.26768112;-72.0633316;4;AREQUIPA;401;AREQUIPA;40120;SANTA ISABEL DE SIGUAS;SANTA ISABEL DE SIGUAS;1;INEI
-16.26159859;-72.52553558;4;AREQUIPA;404;CASTILLA;40413;URACA;CORIRE;1;INEI
-16.3527832;-72.29637909;4;AREQUIPA;405;CAYLLOMA;40520;MAJES;EL PEDREGAL;1;INEI
-16.27799606;-73.0109024;4;AREQUIPA;402;CAMANA;40206;OCOÑA;OCOÑA;1;INEI
-16.09590912;-69.50863647;21;PUNO;2105;EL COLLAO;210503;PILCUYO;PILCUYO;1;INEI
-16.1882267;-70.49467468;18;MOQUEGUA;1802;GENERAL SANCHEZ CERRO;180204;ICHUÑA;ICHUÑA;1;INEI
-16.08027458;-70.30229187;21;PUNO;2101;PUNO;210113;SAN ANTONIO;SAN ANTONIO DE ESQUILACHE /15;1;INEI
-16.21753693;-70.80517578;18;MOQUEGUA;1802;GENERAL SANCHEZ CERRO;180210;UBINAS;UBINAS;1;INEI
-16.23989487;-70.15846252;21;PUNO;2101;PUNO;210111;PICHACANI;LARAQUERI;1;INEI
-16.13093758;-71.60633087;4;AREQUIPA;401;AREQUIPA;40128;YURA;YURA;1;INEI
-16.19381142;-71.0970459;4;AREQUIPA;401;AREQUIPA;40119;SAN JUAN DE TARUCANI;TARUCANI;1;INEI
-16.00643539;-71.82798004;4;AREQUIPA;405;CAYLLOMA;40508;HUANCA;HUANCA;1;INEI
-15.89096832;-69.8784256;21;PUNO;2101;PUNO;210106;CHUCUITO;CHUCUITO;1;INEI
-16.07823753;-73.13605499;4;AREQUIPA;402;CAMANA;40203;MARIANO NICOLAS VALCARCEL;URASQUI;1;INEI
-16.0124054;-72.36820984;4;AREQUIPA;404;CASTILLA;40407;HUANCARQUI;HUANCARQUI;1;INEI
-15.91300297;-72.60066986;4;AREQUIPA;406;CONDESUYOS;40605;IRAY;IRAY;1;INEI
-16.02724075;-72.5681839;4;AREQUIPA;404;CASTILLA;40401;APLAO;APLAO;1;INEI
-15.90500736;-70.06373596;21;PUNO;2101;PUNO;210101;PUNO;PUNO;1;INEI
-15.92364025;-70.27129364;21;PUNO;2101;PUNO;210114;TIQUILLACA;TIQUILLACA;1;INEI
-16.05303192;-73.53826904;4;AREQUIPA;403;CARAVELI;40303;ATICO;ATICO;1;INEI
-15.96761703;-72.01842499;4;AREQUIPA;405;CAYLLOMA;40511;LLUTA;LLUTA;1;INEI
-15.7508316;-72.49990082;4;AREQUIPA;404;CASTILLA;40411;TIPAN;TIPAN;1;INEI
-15.82919216;-73.3318634;4;AREQUIPA;403;CARAVELI;40301;CARAVELI;CARAVELI;1;INEI
-15.88088703;-73.1265564;4;AREQUIPA;406;CONDESUYOS;40606;RIO GRANDE;IQUIPI;1;INEI
